date,day,clubid,name,event_name,start_time ,end_time,description,ind_music,ind_dress,ind_affordable,ind_club,ind_bar,ind_over21,ind_cost,photoid,Coefficient,last_coefficient
01/08/2016,mon,1001,CLUB REPUBLIC,Quids In Monday,11,3.3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p",Commercial,Casual,1,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.7,0.6
01/08/2016,mon,1009,FAT CAT BAR,Coupe de Troupe,9,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p",Commercial,"No trainers, No hoodies",0,0,1,0,0,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0,0
01/08/2016,mon,1010,MARZ BAR,Arise and Shinola,9,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Hip Hop, Commercial",Casual,1,0,1,0,0,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.4,0.6
01/08/2016,mon,1013,REVOLUTION,Speedbolt,11.3,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Hip Hop, Commercial","No trainers, No hoodies",0,0,1,0,0,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.7,0.1
02/08/2016,tue,1005,MOSH,The Monte Magum,10,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Rock,Indie",Casual,1,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.8,0.6
02/08/2016,tue,1004,THE BASEMENT,Colony Clutch,10,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Rock, Indie, Hip Hop",Casual,0,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.8,0.9
02/08/2016,tue,1009,FAT CAT BAR,Basking Bingo,9,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Hip Hop, Commercial","No trainers, No hoodies",1,0,1,0,0,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.4,0.2
02/08/2016,tue,1013,REVOLUTION,Project God,11.3,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Hip Hop, Commercial","No trainers, No hoodies",0,0,1,0,0,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.8,0.9
03/08/2016,wed,1009,FAT CAT BAR,Aria Safari,9,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Hip Hop, Commercial","No trainers, No hoodies",1,0,1,0,0,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.9,0.2
03/08/2016,wed,1013,REVOLUTION,Bora Bora Boar Hunt,11.3,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Hip Hop, Commercial","No trainers, No hoodies",0,0,1,0,0,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.3,0.6
03/08/2016,wed,1014,O2 ACADEMY,Deliveranch,11,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Disco, 90's, Commercial",Casual,1,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.7,0.6
04/08/2016,thu,1003,VENOM,Pick up the Peaces,10,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p",Commercial,Casual,1,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.7,0.3
04/08/2016,thu,1004,THE BASEMENT,Destination Destin,10,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Rock, Indie",Casual,1,0,1,0,0,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.9,0
04/08/2016,thu,1009,FAT CAT BAR,Hope Grows Fondler,9,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Hip Hop, Commercial","No trainers, No hoodies",1,0,1,0,0,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.6,0.5
04/08/2016,thu,1013,REVOLUTION,Prawn Utopia,11.3,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p",Commercial,"No trainers, No hoodies",0,0,1,0,0,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.1,0.1
05/08/2016,fri,1001,CLUB REPUBLIC,Book Trials,10,4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Commercial, House",Casual,1,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.7,0.7
05/08/2016,fri,1002,THE FAN CLUB,Howl Movement,10,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p",Commercial,"No trainers, No hoodies",0,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.7,0.3
05/08/2016,fri,1003,VENOM,Book Bound,11,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p",Commercial,"No trainers, No hoodies",0,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.8,0.2
05/08/2016,fri,1004,THE BASEMENT,Dude Raunch,10,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p","Rock, Indie, Hip Hop",Casual,0,1,0,0,5,"cr_m1.jpg, cr_m2.jpg, cr_m3.jpg, cr_m4.jpg",0.4,0.1
